timestamp,open,high,low,close,volume
2024-01-01,101.6186747311954,102.07893080056142,100.52476785465905,101.49342830602247,146
2024-01-02,101.89012380842858,102.43680918358162,100.23932854342948,101.7168997036801,423
2024-01-03,103.17226441909223,104.88592358244311,103.00513980304925,103.51227677988147,943
2024-01-04,107.17446334127804,108.36352162541426,105.80631323493861,107.05833649269753,784
2024-01-05,107.23656597990019,108.07957894626878,106.35515855243708,107.09002974325085,229
2024-01-06,106.76458012033932,108.18041952100688,106.51819224548366,107.1217558293525,510
2024-01-07,111.71306871593967,112.4190139082615,109.83369664034457,110.78018146036729,194
2024-01-08,113.05196737912898,113.51926522425518,112.33267207988278,112.8150509186731,726
2024-01-09,111.78045039820186,113.64965083738821,111.65292679947679,112.37610214680319,854
2024-01-10,114.28949903829204,114.86012590775817,113.56016118026955,113.96122223397512,391
2024-01-11,113.04704601323654,114.42554624673659,111.552024281892,113.5343868483502,893
2024-01-12,113.49646964308091,114.65231576720329,112.08529556522383,113.10292734120969,910
2024-01-13,114.66614967384545,115.49956005883577,113.43671463833805,114.08685188434175,382
2024-01-14,110.3499502358503,112.16704621302648,109.65330143965905,110.76029139502616,168
2024-01-15,108.29214379462225,109.46319513357724,106.8666197548455,107.81045573000009,759
2024-01-16,107.3922711349864,108.19638259233453,106.29636547128476,107.18588067151815,110
2024-01-17,106.07124851084654,107.00119491649679,104.35313508082758,105.6602184308493,353
2024-01-18,107.73710958736682,107.63357971774312,105.4099592410162,106.78871309603984,941
2024-01-19,105.349970886996,106.63474812124166,104.7379155188027,105.47266494499743,971
2024-01-20,102.7711894601481,104.08298601514299,102.43596666264918,103.14805754232684,649
2024-01-21,106.13459786535718,107.6278530626663,105.71688092874577,106.57935508016995,233
2024-01-22,106.21989733671415,107.92538099191533,106.77876306156466,106.62780247919687,811
2024-01-23,107.22430803386567,107.85374854695598,107.02045441967199,107.26285888857272,122
2024-01-24,105.08393850355414,106.95955615398854,103.22992538242354,104.91336251614581,914
2024-01-25,104.46294246676047,104.8215883763456,102.50211321034482,104.32459706709545,445
2024-01-26,105.46003387103319,105.43934794012132,104.17096026629338,105.04644224651518,401
2024-01-27,103.25095603760953,104.82351052842061,101.95617661014269,103.24445509167057,462
2024-01-28,105.22261816694058,105.89168247534339,103.34022605109016,104.49585112836192,495
2024-01-29,103.66224533190534,105.1066336570504,101.2551333442967,103.79457374852431,317
2024-01-30,105.07127083223256,105.02535900356989,102.15139879322047,103.71118624893775,240
2024-01-31,103.32060669836147,104.00164963805551,102.07173182021936,103.00777302447896,715
2024-02-01,106.78375061528871,107.76370220775392,106.69009961379706,107.21232939349684,309
2024-02-02,107.14988869499041,108.72323722311783,107.48855810414975,107.68533494402097,722
2024-02-03,106.31114929373076,106.73133223035312,104.96818126817556,106.06991308610917,715
2024-02-04,108.10327151765262,109.70256277702443,107.5931782829577,108.21500291031555,927
2024-02-05,106.63031585741955,107.19978691962243,105.98444246517234,106.2733156103735,782
2024-02-06,107.4276616126698,107.77829420198677,106.51432924250427,107.19104280038302,559
2024-02-07,103.73528809629504,104.61100963179697,103.31247655443066,103.77170255262347,455
2024-02-08,101.1919335957924,102.82179618196442,99.77175963729032,101.6153304548266,423
2024-02-09,101.75162931422192,103.22719065016287,101.06823304809012,102.50905292656485,232
2024-02-10,104.26272861052216,105.07487588877245,103.48997240721398,104.48598608655567,987
